URL,PR page,PR main,IP,Subnet,Server Country,Server Region,Google Index,Google index domain main,Google index URL,Google index URL main,Google cache,Backlinks Ahrefs,Links to this Page,Referring Domains,Text Backlinks,Referring IP Addresses Ahrefs,Class C Subnets,Bing,Yahoo catalog,Backlinks Majesticseo,Referring Domains MajesticSEO,Citation Flow,Trust Flow,Organic Keywords Semrush,Difference SemRush Organic Keywords,DMOZ,Moz Page Authority,Moz Domain Authority,Page MozRank,Page MozTrust,Domain MozRank,Domain MozTrust,Moz Link Count,Alexa Rank,Alexa Rank Local,Alexa Sites Linking,Domain Merge,Google Domain Mentions,Site links,Link Stat,Language,Web.Arch Domain Age,WhoIs Domain Age,Status Code,FB Likes,FB Shares,FB Total,Google +1,Twitter,StumbleUpon,Diggs,Pins,LinkedIn,Rating
http://allnurses.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://adb.anu.edu.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://blog.epa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://deepseanews.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://dejanseo.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://jimdo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://legacy.earlham.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://pubs.rsc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://blogs.rsc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://oilprice.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://opendemocracy.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://royalsocietypublishing.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://themoderatevoice.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://tikiwiki.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://traveltourismdirectory.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://webnode.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://webs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://wiki.videolan.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.cipd.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
